Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,DayDiff,positive_close,GapToDiv,DivToPrice,month,week,weekday,GapAbsolute,predict,Gain
2007-02-06,29.2,1.0,0.662883087,CENT,2007-01-03,AMC,https://www.stockwatch.com/News/Item/U-b006040-U!CENT-20070103/U/CENT,https://www.stockwatch.com/Quote/Fundamentals?U:CENT,47.9,48.01,49.13,42.09,44.05,14.9,655845.0,34,0,0.0037671232876712135,60.96,1,1,2,0.10999999999999943,0.5972369876909199,0.9175171839200167
2007-01-11,0.25,1.0,0.02750275,IMH,2007-01-04,AMC,https://www.stockwatch.com/News/Item/U-pLATH090-U!IMH-20070104/U/IMH,https://www.stockwatch.com/Quote/Fundamentals?U:IMH,8.66,8.69,9.1,8.66,9.09,8.99,711700.0,7,1,0.11999999999999744,2.89,1,1,3,0.02999999999999936,0.7137812877651183,1.046029919447641
2007-01-26,0.478596,1.0,0.021176814,DMLP,2007-01-18,DAY,https://www.stockwatch.com/News/Item/U-pDATH013-U!DMLP-20070118/U/DMLP,https://www.stockwatch.com/Quote/Fundamentals?U:DMLP,21.47,21.35,23.1,21.38,22.6,22.36,70525.0,8,1,-0.25073339518089877,2.23,1,3,3,-0.11999999999999744,0.7296654729832854,1.0585480093676816
2007-01-31,0.285,1.0,0.021268657,BRKL,2007-01-19,DAY,https://www.stockwatch.com/News/Item/U-b005917-U!BRKL-20070119/U/BRKL,https://www.stockwatch.com/Quote/Fundamentals?U:BRKL,12.85,12.99,13.46,12.83,13.4,13.4,265035.0,12,1,0.4912280701754406,2.22,1,3,4,0.14000000000000057,0.675517936137523,1.031562740569669
2007-02-14,0.3,1.0,0.021428571,HTGC,2007-01-19,DAY,https://www.stockwatch.com/News/Item/U-b005149-U!HTGC-20070119/U/HTGC,https://www.stockwatch.com/Quote/Fundamentals?U:HTGC,14.13,14.07,14.5,13.71,14.0,13.96,76410.0,26,0,-0.20000000000000168,2.12,1,3,4,-0.0600000000000005,0.648905572619266,0.9950248756218906
2007-03-30,0.80112,1.0,0.020452387,PHG,2007-01-22,AMC,https://www.stockwatch.com/News/Item/U-pNYM192-U!PHG-20070122/U/PHG,https://www.stockwatch.com/Quote/Fundamentals?U:PHG,37.39,37.79,39.38,35.35,39.17,38.19,940665.0,67,1,0.4993009786299163,2.14,1,4,0,0.3999999999999986,0.6053216882570577,1.0365175972479492
2007-02-06,2.0,1.0,0.031545741,MWE,2007-01-26,AMC,https://www.stockwatch.com/News/Item/U-pLAF037-U!MWE-20070126/U/MWE,https://www.stockwatch.com/Quote/Fundamentals?U:MWE,62.13,63.25,64.67,61.75,63.4,61.85,51930.0,11,1,0.5599999999999987,3.22,1,4,4,1.1199999999999974,0.5882821702709611,1.0023715415019763
2007-02-12,4.125,1.0,0.048370075,DO,2007-01-30,AMC,https://www.stockwatch.com/News/Item/U-b006363-U!DO-20070130/U/DO,https://www.stockwatch.com/Quote/Fundamentals?U:DO,83.17,82.9,87.9,82.5,85.28,81.04,4069165.0,13,1,-0.06545454545454449,4.96,1,5,1,-0.269999999999996,0.6278093259845279,1.0287092882991555
2007-02-08,0.75,1.0,0.129982669,EGOV,2007-01-31,AMC,https://www.stockwatch.com/News/Item/U-b005883-U!EGOV-20070131/U/EGOV,https://www.stockwatch.com/Quote/Fundamentals?U:EGOV,5.35,5.53,5.82,5.41,5.77,5.08,129560.0,8,1,0.2400000000000008,14.02,1,5,2,0.1800000000000006,0.6721168210040243,1.043399638336347
2007-02-09,1.0,1.0,0.023719165,QSII,2007-02-01,DAY,https://www.stockwatch.com/News/Item/U-b005197-U!QSII-20070201/U/QSII,https://www.stockwatch.com/Quote/Fundamentals?U:QSII,42.89,43.18,45.44,40.1,42.16,41.89,293920.0,8,0,0.28999999999999915,2.33,2,5,3,0.28999999999999915,0.6638013513170832,0.9763779527559054
2007-02-20,0.29,1.0,0.025371829,GNA,2007-02-07,DAY,https://www.stockwatch.com/News/Item/U-C5383-U!GNA-20070207/U/GNA,https://www.stockwatch.com/Quote/Fundamentals?U:GNA,9.8,9.8,11.82,9.6,11.43,11.67,473645.0,13,1,0.0,2.96,2,6,2,0.0,0.7079868557327353,1.1663265306122448
2007-02-13,0.97,1.0,0.02250058,TNH,2007-02-08,DAY,https://www.stockwatch.com/News/Item/U-b005141-U!TNH-20070208/U/TNH,https://www.stockwatch.com/Quote/Fundamentals?U:TNH,40.47,41.94,46.6,42.1,43.11,43.7,107590.0,5,1,1.515463917525772,2.4,2,6,3,1.4699999999999989,0.606746600352426,1.0278969957081545
2007-02-13,1.0122,1.0,0.041096224,MVO,2007-02-08,AMC,https://www.stockwatch.com/News/Item/U-b006116-U!MVO-20070208/U/MVO,https://www.stockwatch.com/Quote/Fundamentals?U:MVO,24.2,24.45,25.0,24.2,24.63,23.7,207553.3333333333,5,1,0.2469867615095831,4.18,2,6,3,0.25,0.6811849677862643,1.007361963190184
2007-03-05,0.46,1.0,0.024691358,DSX,2007-02-12,DAY,https://www.stockwatch.com/News/Item/U-pNYM194-U!DSX-20070212/U/DSX,https://www.stockwatch.com/Quote/Fundamentals?U:DSX,17.11,17.47,20.79,16.79,18.63,18.06,553365.0,21,1,0.7826086956521726,2.69,2,7,0,0.35999999999999943,0.6614787169821186,1.0663995420721237
2007-02-20,1.0,1.0,0.02739726,NAT,2007-02-14,BMO,https://www.stockwatch.com/News/Item/U-i0215413-U!NAT-20070214/U/NAT,https://www.stockwatch.com/Quote/Fundamentals?U:NAT,37.53,36.0,37.0,35.22,36.5,36.23,249390.0,6,1,-1.5300000000000011,2.66,2,7,2,-1.5300000000000011,0.6240560831130944,1.0138888888888888
2007-02-26,0.51,1.0,0.023943662,EGLE,2007-02-15,DAY,https://www.stockwatch.com/News/Item/U-z0113780-U!EGLE-20070215/U/EGLE,https://www.stockwatch.com/Quote/Fundamentals?U:EGLE,19.84,19.96,22.0,19.92,21.3,20.95,383140.0,11,1,0.23529411764706076,2.57,2,7,3,0.120000000000001,0.7066495972602184,1.0671342685370742
2007-02-22,8.0,1.0,0.140252454,SMG,2007-02-16,AMC,https://www.stockwatch.com/News/Item/U-pCLF134-U!SMG-20070216/U/SMG,https://www.stockwatch.com/Quote/Fundamentals?U:SMG,53.37,55.5,57.45,55.25,57.04,49.5,617055.0,6,1,0.2662500000000003,14.99,2,7,4,2.1300000000000026,0.5489628477469178,1.0277477477477477
2007-03-01,0.225,1.0,0.022037218,XRM,2007-02-20,AMC,https://www.stockwatch.com/News/Item/U-b006389-U!XRM-20070220/U/XRM,https://www.stockwatch.com/Quote/Fundamentals?U:XRM,10.64,10.64,11.03,10.14,10.21,9.98,130900.0,9,0,0.0,2.11,2,8,1,0.0,0.6516175165375625,0.9595864661654135
2007-02-28,0.230023,1.0,0.02702973,usa,2007-02-20,DAY,https://www.stockwatch.com/News/Item/U-i0217501-U!USA-20070220/U/USA,https://www.stockwatch.com/Quote/Fundamentals?U:usa,8.65,8.7,8.75,8.38,8.51,8.19,351275.0,8,0,0.21736956739108235,2.66,2,8,1,0.049999999999998934,0.7030389801092075,0.97816091954023
2007-03-20,3.25,1.0,0.05019305,LAMR,2007-02-26,DAY,https://www.stockwatch.com/News/Item/U-b005980-U!LAMR-20070226/U/LAMR,https://www.stockwatch.com/Quote/Fundamentals?U:LAMR,66.56,65.93,65.59,62.41,64.75,61.55,1017680.0,22,0,-0.19384615384615245,4.88,2,9,0,-0.6299999999999955,0.6467398616401197,0.9821022296374942
2007-03-12,0.2,1.0,0.068027211,MNDO,2007-02-26,BMO,https://www.stockwatch.com/News/Item/U-i0219756-U!MNDO-20070226/U/MNDO,https://www.stockwatch.com/Quote/Fundamentals?U:MNDO,2.83,2.85,2.98,2.7,2.94,2.82,101990.0,14,1,0.10000000000000009,7.07,2,9,0,0.020000000000000018,0.6912706229595662,1.031578947368421
2007-04-11,0.4731,1.0,0.033107068,TKC,2007-03-02,AMC,https://www.stockwatch.com/News/Item/U-pUKF011-U!TKC-20070302/U/TKC,https://www.stockwatch.com/Quote/Fundamentals?U:TKC,13.08,13.0,14.5,12.35,14.29,14.08,580360.0,40,1,-0.16909744240118382,3.62,3,9,4,-0.08000000000000007,0.6747686696182712,1.0992307692307692
2007-03-14,0.58,1.0,0.024441635,CSE,2007-03-06,AMC,https://www.stockwatch.com/News/Item/U-pDCTU091-U!CSE-20070306/U/CSE,https://www.stockwatch.com/Quote/Fundamentals?U:CSE,24.73,25.0,25.34,23.38,23.73,23.25,1520725.0,8,0,0.46551724137930967,2.35,3,10,1,0.2699999999999996,0.702482815534418,0.9492
2007-03-20,0.51,1.0,0.023502304,AINV,2007-03-06,AMC,https://www.stockwatch.com/News/Item/U-i0223621-U!AINV-20070306/U/AINV,https://www.stockwatch.com/Quote/Fundamentals?U:AINV,21.22,21.39,22.15,20.36,21.7,21.1716,1545205.0,14,1,0.33333333333333665,2.4,3,10,1,0.1700000000000017,0.7067854932796434,1.0144927536231882
