date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,headline
2022-04-22 00:00:00+00:00,12.4,12.595,12.4,12.595,36028,12.4,12.595,12.4,12.595,36028,0.693814,1.0,0.05154636,AAVMY,-,-,-,-,-
2022-05-06 00:00:00+00:00,39.9,40.5,38.75,39.83,502058,39.9,40.5,38.75,39.83,502058,0.9,1.0,0.021812894,AB,-,-,-,-,-
2022-05-19 00:00:00+00:00,16.14,16.5,16.13,16.28,2887163,16.14,16.5,16.13,16.28,2887163,0.38,1.0,0.022619048,ABR,2022-05-06 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-z8536757-U!ABR-20220506/U/ABR,https://www.stockwatch.com/Quote/Fundamentals?U:ABR,Arbor Realty Trust Reports First Quarter 2022 Results and Increases Quarterly Dividend to $0.38 per Share
2022-05-19 00:00:00+00:00,131.69,135.5,130.01,133.3,485263,131.69,135.5,130.01,133.3,485263,8.0,1.0,0.056144291,AFG,2022-05-04 20:00:00,AMC,https://www.stockwatch.com/News/Item/U-b20220504006060-U!AFG-20220504/U/AFG,https://www.stockwatch.com/Quote/Fundamentals?U:AFG,"American Financial Group, Inc. Announces First Quarter Results, Redemption of Debt and Declares Special Dividend"
2022-05-19 00:00:00+00:00,119.79,122.17,117.3,118.49,560325,119.79,122.17,117.3,118.49,560325,4.5,1.0,0.036302033,AGCO,2022-04-28 15:30:00,DAY,https://www.stockwatch.com/News/Item/U-b20220427005682-U!AGCO-20220428/U/AGCO,https://www.stockwatch.com/Quote/Fundamentals?U:AGCO,AGCO Announces Dividend Actions
2022-06-02 00:00:00+00:00,22.04,22.22,21.903,21.925,26109,22.04,22.22,21.903,21.925,26109,1.83029,1.0,0.071159364,AHCHY,-,-,-,-,-
2022-04-19 00:00:00+00:00,20.2,20.2,19.9,20.15,139065,20.2,20.2,19.9,20.15,139065,0.6796063,1.0,0.032595026,AHEXY,-,-,-,-,-
2022-05-13 00:00:00+00:00,8.8,8.9,8.68,8.68,172754,8.8,8.9,8.68,8.68,172754,0.26,1.0,0.028985507,AJX,-,-,-,-,-
2022-04-19 00:00:00+00:00,11.78,12.11,11.61,11.83,53957,11.78,12.11,11.61,11.83,53957,1.54251,1.0,0.117479817,AKO-B,-,-,-,-,-
2022-04-27 00:00:00+00:00,27.25,27.66,27.08,27.54,47656,27.25,27.66,27.08,27.54,47656,0.655809,1.0,0.023472047,ALFVY,-,-,-,-,-
2022-05-05 00:00:00+00:00,21.08,21.58,20.83,21.4808,304480,21.08,21.58,20.83,21.4808,304480,0.8077125,1.0,0.034875324,ALIZY,-,-,-,-,-
