Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol
2014-11-03 00:00:00+00:00,15.75,1.0,0.284913169,A,2014-09-17 19:58:00,AMC,https://www.stockwatch.com/News/Item/U-b006405-U!A-20140917/U/A,https://www.stockwatch.com/Quote/Fundamentals?U:A,58.89,59.2,59.4,49.8,55.28,39.9,1476685.0
2019-09-24 00:00:00+00:00,51.5,1.0,0.72740113,AABA,2019-09-06 10:00:00,DAY,https://www.stockwatch.com/News/Item/U-b20190906005129-U!AABA-20190906/U/AABA,https://www.stockwatch.com/Quote/Fundamentals?U:AABA,69.71,70.09,70.845,69.88,70.8,19.32,5940817.8
2007-07-17 00:00:00+00:00,2.45,1.0,0.141047784,AACC,2007-06-18 19:12:00,AMC,https://www.stockwatch.com/News/Item/U-pCLM136-U!AACC-20070618/U/AACC,https://www.stockwatch.com/Quote/Fundamentals?U:AACC,16.8,17.41,18.18,16.538,17.37,15.17,160684.55
2020-12-01 00:00:00+00:00,9.595,1.0,0.5,AAN,2020-12-01 10:00:00,DAY,https://www.stockwatch.com/News/Item/U-prCL06903-U!AAN-20201201/U/AAN,https://www.stockwatch.com/Quote/Fundamentals?U:AAN,,,,,,,
2008-10-29 00:00:00+00:00,0.12,1.0,0.021164021,AAV,2008-10-21 19:20:00,AMC,https://www.stockwatch.com/News/Item/U-pTO790-U!AAV-20081021/U/AAV,https://www.stockwatch.com/Quote/Fundamentals?U:AAV,6.6,6.51,6.51,5.0,5.67,5.79,1550983.55
2008-11-25 00:00:00+00:00,0.12,1.0,0.023483366,AAV,2008-11-18 12:59:00,DAY,https://www.stockwatch.com/News/Item/U-C9698-U!AAV-20081118/U/AAV,https://www.stockwatch.com/Quote/Fundamentals?U:AAV,5.1,5.06,5.23,4.1,5.11,5.24,910024.6
2008-10-30 00:00:00+00:00,0.6,1.0,0.029411765,AB,2008-10-22 19:14:00,AMC,https://www.stockwatch.com/News/Item/U-pNY40776-U!AB-20081022/U/AB,https://www.stockwatch.com/Quote/Fundamentals?U:AB,21.44,20.76,21.65,17.03,20.4,21.0,813675.0
2009-11-05 00:00:00+00:00,0.67,1.0,0.024787273,AB,2009-10-29 19:03:00,AMC,https://www.stockwatch.com/News/Item/U-pNY01180-U!AB-20091029/U/AB,https://www.stockwatch.com/Quote/Fundamentals?U:AB,26.37,26.98,28.63,26.0,27.03,26.93,540510.0
2010-02-18 00:00:00+00:00,0.62,1.0,0.022727273,AB,2010-02-11 19:06:00,AMC,https://www.stockwatch.com/News/Item/U-prNY5324-U!AB-20100211/U/AB,https://www.stockwatch.com/Quote/Fundamentals?U:AB,25.5,25.7,27.63,25.47,27.28,26.77,517130.0
2017-02-22 00:00:00+00:00,0.67,1.0,0.027125506,AB,2016-11-28 19:06:00,AMC,https://www.stockwatch.com/News/Item/U-prNY55081-U!AB-20161128/U/AB,https://www.stockwatch.com/Quote/Fundamentals?U:AB,23.15,23.25,25.125,22.05,24.7,24.0,271273.05
2018-05-04 00:00:00+00:00,0.73,1.0,0.027137546,AB,2018-03-22 11:00:00,DAY,https://www.stockwatch.com/News/Item/U-prNY45736-U!AB-20180322/U/AB,https://www.stockwatch.com/Quote/Fundamentals?U:AB,26.2,25.9,27.4,25.81,26.9,26.5,277083.05
2012-12-13 00:00:00+00:00,1.0,1.0,0.02621232,ABAX,2012-12-06 20:22:00,AMC,https://www.stockwatch.com/News/Item/U-prLA25786-U!ABAX-20121206/U/ABAX,https://www.stockwatch.com/Quote/Fundamentals?U:ABAX,36.85,37.14,39.2,37.0075,38.15,37.22,85380.0
