Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,DayDiff,positive_close,gain,DivToPrice,month,week,weekday,predict,Gain
2007-09-26,0.098,1.0,0.023614458,TSI,2007-08-03,AMC,https://www.stockwatch.com/News/Item/U-b005702-U!TSI-20070803/U/TSI,https://www.stockwatch.com/Quote/Fundamentals?U:TSI,4.31,4.29,4.5,3.54,4.15,4.07,171190.0,54,0,-0.03263403263403253,2.27,8,31,4,0.8530199856349145,0.9673659673659675
2007-09-25,2.07,1.0,0.047564338,THO,2007-08-06,DAY,https://www.stockwatch.com/News/Item/U-pNYM096-U!THO-20070806/U/THO,https://www.stockwatch.com/Quote/Fundamentals?U:THO,39.7,42.34,47.39,39.5,43.52,41.63,450060.0,50,1,0.02786962683042038,5.21,8,32,0,0.7328669120299666,1.0278696268304204
2007-09-05,0.36,1.0,0.027418126,TICC,2007-08-07,DAY,https://www.stockwatch.com/News/Item/U-i0287005-U!TICC-20070807/U/TICC,https://www.stockwatch.com/Quote/Fundamentals?U:TICC,13.1,12.67,14.0,10.68,13.13,13.0,209955.0,29,1,0.03630623520126286,2.75,8,32,1,0.8071755167192314,1.0363062352012629
2007-08-31,0.1125,1.0,0.021266541,XRM,2007-08-08,AMC,https://www.stockwatch.com/News/Item/U-b006173-U!XRM-20070808/U/XRM,https://www.stockwatch.com/Quote/Fundamentals?U:XRM,6.19,6.15,6.69,5.0,5.29,5.25,112800.0,23,0,-0.1398373983739838,1.82,8,32,2,0.08632763598199,0.8601626016260162
2007-08-16,0.42,1.0,0.053777209,SALM,2007-08-08,AMC,https://www.stockwatch.com/News/Item/U-b006146-U!SALM-20070808/U/SALM,https://www.stockwatch.com/Quote/Fundamentals?U:SALM,7.74,7.77,9.4,7.5,7.81,7.61,52150.0,8,1,0.005148005148005064,5.43,8,32,2,0.880328871648157,1.005148005148005
2007-09-12,0.42,1.0,0.025990099,ARCC,2007-08-09,DAY,https://www.stockwatch.com/News/Item/U-b005364-U!ARCC-20070809/U/ARCC,https://www.stockwatch.com/Quote/Fundamentals?U:ARCC,17.2,17.53,17.882,14.22,16.16,15.66,992285.0,34,0,-0.07815173987450086,2.44,8,32,3,0.7343999465573015,0.9218482601254991
2007-08-15,1.17,1.0,0.031266702,NAT,2007-08-09,BMO,https://www.stockwatch.com/News/Item/U-i0288354-U!NAT-20070809/U/NAT,https://www.stockwatch.com/Quote/Fundamentals?U:NAT,38.74,38.99,39.84,37.0,37.42,36.45,555880.0,6,0,-0.040266735060271897,3.02,8,32,3,0.6705867664154457,0.9597332649397281
2007-09-12,0.42,1.0,0.029045643,BKCC,2007-08-09,AMC,https://www.stockwatch.com/News/Item/U-b006041-U!BKCC-20070809/U/BKCC,https://www.stockwatch.com/Quote/Fundamentals?U:BKCC,12.88,12.27,14.81,12.0,14.46,14.29,162975.0,34,1,0.17848410757946231,3.26,8,32,3,0.6307374999968023,1.1784841075794623
2007-10-03,0.2,1.0,0.048309179,HIMX,2007-08-15,DAY,https://www.stockwatch.com/News/Item/U-z0125033-U!HIMX-20070815/U/HIMX,https://www.stockwatch.com/Quote/Fundamentals?U:HIMX,5.0,5.0,4.98,3.53,4.14,4.04,798985.0,49,0,-0.17200000000000004,4.0,8,33,2,0.7894131720285422,0.828
2007-10-02,0.2,1.0,0.048780488,HIMX,2007-08-15,DAY,https://www.stockwatch.com/News/Item/U-z0125033-U!HIMX-20070815/U/HIMX,https://www.stockwatch.com/Quote/Fundamentals?U:HIMX,5.0,5.0,4.98,3.53,4.1,4.15,798985.0,48,0,-0.18000000000000005,4.0,8,33,2,0.7710277652565,0.82
2007-09-12,0.27,1.0,0.020029674,MPW,2007-08-16,AMC,https://www.stockwatch.com/News/Item/U-b006009-U!MPW-20070816/U/MPW,https://www.stockwatch.com/Quote/Fundamentals?U:MPW,12.37,12.37,13.63,12.37,13.48,13.25,837600.0,27,1,0.08973322554567509,2.18,8,33,3,0.7980388978644701,1.089733225545675
