date,time,ticker,headline,link
2022-06-13 04:36:00,BMO,SHEL,Shell Plc First Quarter 2022 Euro and GBP Equivalent Dividend Payments,https://www.stockwatch.com/News/Item?bid=U-z1000658728-U:SHEL-20220613&symbol=SHEL&region=U&hitwords=dividends+dividend
2022-06-13 06:30:00,BMO,ZCMD,Zhongchao Inc. Announces its MDMOOC Platform Launched Disease Prevention and Distribution Quality Management Course,https://www.stockwatch.com/News/Item?bid=U-prCN86572-U:ZCMD-20220613&symbol=ZCMD&region=U&hitwords=distribution
2022-06-10 16:00:00,AMC,IGR,CBRE Global Real Estate Income Fund (NYSE: IGR) Declares Monthly Distribution for June,https://www.stockwatch.com/News/Item?bid=U-b20220610005553-U:IGR-20220610&symbol=IGR&region=U&hitwords=distribute+share+per+distribution+dividend+distributions
2022-06-10 08:00:00,BMO,CMCT,CMCT Declares Common and Preferred Stock Dividends,https://www.stockwatch.com/News/Item?bid=U-b20220610005103-U:CMCT-20220610&symbol=CMCT&region=U&hitwords=share+per+dividend+dividends
2022-06-10 15:00:00,DAY,BRG,"Bluerock Residential Growth REIT (BRG) Announces Second Quarter Dividends on Common Stock, 7.625% Series C Cumulative Redeemable Preferred Stock, and 7.125% Series D Cumulative Preferred Stock, and June Dividends on Series B Preferred Stock and Series T P",https://www.stockwatch.com/News/Item?bid=U-prDE85793-U:BRG-20220610&symbol=BRG&region=U&hitwords=per+share+dividend+dividends
2022-06-10 08:30:00,BMO,NATH,"Nathan's Famous, Inc. Reports Year End And Fourth Quarter Results And Declares Quarterly Cash Dividend Of $0.45 Per Share",https://www.stockwatch.com/News/Item?bid=U-z8569617-U:NATH-20220610&symbol=NATH&region=U&hitwords=per+share+distributes+dividend
2022-06-10 09:00:00,BMO,BGH,Barings Global Short Duration High Yield Fund Announces June 2022 Monthly Distribution of $0.1056 per Share,https://www.stockwatch.com/News/Item?bid=U-prNE84799-U:BGH-20220610&symbol=BGH&region=U&hitwords=share+dividend+per+distribution+distributions
2022-06-10 16:15:00,AMC,CNF,Fanhua Announces Details of Distribution of CNFinance Shares,https://www.stockwatch.com/News/Item?bid=U-z8570154-U:CNF-20220610&symbol=CNF&region=U&hitwords=distributed+distribution+dividend+distributable+distribute
2022-06-10 16:15:00,AMC,FANH,Fanhua Announces Details of Distribution of CNFinance Shares,https://www.stockwatch.com/News/Item?bid=U-z8570154-U:FANH-20220610&symbol=FANH&region=U&hitwords=distribute+distributed+distributable+dividend+distribution
2022-06-10 16:15:00,AMC,ARDC,Ares Dynamic Credit Allocation Fund Declares a Monthly Distribution of $0.0975 Per Share,https://www.stockwatch.com/News/Item?bid=U-b20220610005501-U:ARDC-20220610&symbol=ARDC&region=U&hitwords=distribution+share+per+distributions+distributed
2022-06-10 17:06:00,AMC,TLLYF,Trilogy International Partners Inc. Announces Declaration of Initial Distribution to Shareholders of C$150 Million Following the Sale of Its New Zealand Subsidiary,https://www.stockwatch.com/News/Item?bid=U-by0704627-U:TLLYF-20220610&symbol=TLLYF&region=U&hitwords=per+share+distribution+distributions
2022-06-10 06:30:00,BMO,MTDR,Matador Resources Company Amends Quarterly Cash Dividend Policy to Double Quarterly Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220610005092-U:MTDR-20220610&symbol=MTDR&region=U&hitwords=share+per+dividend+dividends
2022-06-10 07:00:00,BMO,GMRE,Global Medical REIT Inc. Board Declares 2022 Second Quarter Common and Preferred Dividends,https://www.stockwatch.com/News/Item?bid=U-b20220610005104-U:GMRE-20220610&symbol=GMRE&region=U&hitwords=share+per+dividends+dividend
